Combination	PEN Distance(cancer genes)	PEN Distance(other genes)	PEN-diff	Distance(cancer genes)	Distance(other genes)	Distance-diff	ppr(cancer genes)	ppr(other genes)	ppr-diff
('RRM1', 'IGF2')	10.289954545454545	10.267885860190905	-0.022068685263640475	3.0	1.562956204379562	-1.437043795620438	0.00023762474195145814	0.0002694949488954288	3.187020694397067e-05
('RRM1', 'BRD4')	11.068913636363636	11.064496345892229	-0.004417290471407043	3.6	1.7694938440492476	-1.8305061559507525	0.00016029862990750166	0.00027024052248263234	0.00010994189257513068
('RRM1', 'SOX10')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('RRM1', 'XRCC1')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('RRM1', 'ERCC2')	10.069118181818181	9.99965086246053	-0.06946731935765094	4.1	1.9098996350364963	-2.190100364963503	0.00013984030065123374	0.00027060357841455595	0.0001307632777633222
('RRM1', 'KLK3')	10.664200000000001	10.743406876986182	0.07920687698618067	3.6	1.842609489051095	-1.7573905109489052	0.001982035831876331	0.0002611447096673297	-0.0017208911222090012
('RRM1', 'BARD1')	10.99749090909091	11.0219418293239	0.024450920232990114	3.7	1.979014598540146	-1.7209854014598542	0.00027536496283797466	0.00026978806112251815	-5.5769017154565096e-06
('RRM1', 'HNF4A')	10.12129090909091	10.435729822968922	0.31443891387801237	3.2	1.8667883211678833	-1.3332116788321169	0.0010681314791695044	0.0002498015454550432	-0.0008183299337144612
('RRM1', 'SPG7')	11.471922727272727	11.477332977757865	0.00541025048513788	5.2	2.486548107615139	-2.713451892384861	0.0001038799923238098	0.0002703484415340932	0.0001664684492102834
('RRM1', 'XRCC4')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('RRM1', 'RNF8')	11.305759090909092	11.462892056287126	0.15713296537803423	4.4	2.2657390510948905	-2.13426094890511	0.00017186079265563107	0.0002700818744989337	9.822108184330262e-05
('RRM1', 'MAP3K1')	9.54544090909091	9.587143281888588	0.04170237279767797	2.5	1.416514598540146	-1.083485401459854	0.00039376176295067536	0.0002685554907454196	-0.00012520627220525578
('RRM1', 'BCL2')	9.958209090909092	9.97158812982322	0.013379038914127506	2.9	1.5467609489051095	-1.3532390510948904	0.00017563470210074956	0.0002697905725306812	9.415587042993162e-05
('RRM1', 'NR1I3')	10.391372727272728	10.462065342714732	0.07069261544200423	3.2	1.7007299270072993	-1.4992700729927009	0.00017777641930832795	0.00026867477855627424	9.089835924794629e-05
('RRM1', 'MDM4')	10.831645454545455	10.835287948252631	0.0036424937071757313	3.3	1.6640054744525548	-1.635994525547445	0.00026866737916086324	0.0002676160424435108	-1.0513367173524196e-06
('RRM1', 'FBXW7')	10.544663636363637	10.514698229687045	-0.029965406676591755	3.4	1.6912904696762425	-1.7087095303237574	0.00016288629185890073	0.000269084284053255	0.00010619799219435425
('RRM1', 'ACSS2')	11.438009090909091	11.478550204267169	0.04054111335807775	5.0	2.5609032846715327	-2.4390967153284673	0.00015207983483455243	0.00027052488348930153	0.0001184450486547491
('RRM1', 'PRDX4')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('RRM1', 'GAS6')	11.073604545454547	11.122259373581727	0.04865482812718014	4.3	2.147514819881441	-2.1524851801185587	0.0001380829054713373	0.00026976583249699174	0.00013168292702565445
('IGF2', 'BRD4')	8.845968181818183	8.819482206082625	-0.026485975735557332	3.3	3.3324500484288095	0.03245004842880972	0.0003979233718589598	0.00044895017859549195	5.1026806736532147e-05
('IGF2', 'SOX10')	10.289954545454545	10.267885860190905	-0.022068685263640475	3.0	1.562956204379562	-1.437043795620438	0.00023762474195145814	0.0002694949488954288	3.187020694397067e-05
('IGF2', 'XRCC1')	10.289954545454545	10.267885860190905	-0.022068685263640475	3.0	1.562956204379562	-1.437043795620438	0.00023762474195145814	0.0002694949488954288	3.187020694397067e-05
('IGF2', 'ERCC2')	7.846172727272727	7.754636722650927	-0.09153600462179945	3.55	3.4728558394160585	-0.07714416058394136	0.0003774650426026919	0.00044931323452741557	7.184819192472368e-05
('IGF2', 'KLK3')	8.441254545454544	8.49839273717658	0.057138191722035714	3.3	3.405565693430657	0.10556569343065725	0.002219660573827789	0.0004398543657801893	-0.0017798062080475999
('IGF2', 'BARD1')	8.774545454545454	8.776927689514299	0.002382234968845154	3.35	3.5419708029197077	0.19197080291970758	0.0005129897047894328	0.0004484977172353777	-6.44919875540551e-05
('IGF2', 'HNF4A')	7.898345454545455	8.190715683159318	0.29237022861386386	3.1	3.429744525547445	0.32974452554744493	0.0013057562211209626	0.0004285112015679028	-0.0008772450195530598
('IGF2', 'SPG7')	9.248977272727274	9.23231883794826	-0.016658434779014186	4.1	4.049504311994701	-0.05049568800529869	0.00034150473427526794	0.0004490580976469528	0.00010755336337168488
('IGF2', 'XRCC4')	10.289954545454545	10.267885860190905	-0.022068685263640475	3.0	1.562956204379562	-1.437043795620438	0.00023762474195145814	0.0002694949488954288	3.187020694397067e-05
('IGF2', 'RNF8')	9.082813636363635	9.217877916477523	0.1350642801138875	3.7	3.8286952554744524	0.12869525547445226	0.0004094855346070892	0.00044879153061179325	3.9305996004704064e-05
('IGF2', 'MAP3K1')	7.3224954545454555	7.342129142078985	0.019633687533529454	2.75	2.9794708029197077	0.22947080291970767	0.0006313865049021335	0.0004472651468582792	-0.0001841213580438543
('IGF2', 'BCL2')	7.735263636363637	7.726573990013616	-0.008689646350021007	2.95	3.1097171532846715	0.1597171532846713	0.0004132594440522077	0.0004485002286435408	3.5240784591333114e-05
('IGF2', 'NR1I3')	8.168427272727271	8.217051202905129	0.04862393017785749	3.1	3.2636861313868613	0.16368613138686117	0.0004154011612597861	0.00044738443466913385	3.1983273409347756e-05
('IGF2', 'MDM4')	8.608699999999999	8.590273808443026	-0.018426191556972782	3.15	3.226961678832117	0.07696167883211702	0.0005062921211123213	0.00044632569855637043	-5.99664225559509e-05
('IGF2', 'FBXW7')	8.321718181818182	8.269684089877444	-0.05203409194073849	3.2	3.2542466740558043	0.05424667405580408	0.0004005110338103589	0.0004477939401661146	4.728290635575569e-05
('IGF2', 'ACSS2')	9.215063636363638	9.233536064457567	0.01847242809392924	4.0	4.123859489051094	0.12385948905109423	0.0003897045767860106	0.00044923453960216115	5.952996281615054e-05
('IGF2', 'PRDX4')	10.289954545454545	10.267885860190905	-0.022068685263640475	3.0	1.562956204379562	-1.437043795620438	0.00023762474195145814	0.0002694949488954288	3.187020694397067e-05
('IGF2', 'GAS6')	8.85065909090909	8.877245233772125	0.026586142863035178	3.65	3.710471024261003	0.06047102426100315	0.00037570764742279547	0.0004484754886098513	7.276784118705583e-05
('BRD4', 'SOX10')	11.068913636363636	11.064496345892229	-0.004417290471407043	3.6	1.7694938440492476	-1.8305061559507525	0.00016029862990750166	0.00027024052248263234	0.00010994189257513068
