Combination	PEN Distance(cancer genes)	PEN Distance(other genes)	PEN-diff	Distance(cancer genes)	Distance(other genes)	Distance-diff	ppr(cancer genes)	ppr(other genes)	ppr-diff
('PIK3R1', 'PIK3R2')	5.699063888888889	7.125068076317863	1.4260041874289735	2.25	2.9399363564041368	0.6899363564041368	0.001924266255316792	0.0003750821103104421	-0.00154918414500635
('PIK3R1', 'PIK3C2G')	6.600480555555556	8.043027104642022	1.4425465490864653	2.40625	3.1097852028639617	0.7035352028639617	0.0016876117726682311	0.0003764174354702411	-0.00131119433719799
('PIK3R1', 'PIK3C3')	6.696433333333334	8.222618961447676	1.5261856281143418	2.59375	3.27744630071599	0.6836963007159902	0.0022436198922630417	0.00036997556263154935	-0.0018736443296314925
('PIK3R1', 'BRAF')	5.752391666666668	7.127346656176249	1.3749549895095807	2.3125	2.952068416865553	0.6395684168655529	0.0017923401147948784	0.0003758771508857549	-0.0014164629639091234
('PIK3R1', 'SGK1')	6.078327777777778	7.512535896931556	1.4342081191537783	2.40625	3.0073587907716783	0.6011087907716783	0.0016548533057925388	0.00037322168416436294	-0.0012816316216281759
('PIK3R1', 'PI4KA')	6.973066666666667	8.32774876081825	1.3546820941515838	2.8125	3.450079554494829	0.6375795544948288	0.0015489524898319373	0.000377709153273068	-0.0011712433365588693
('PIK3R1', 'RB1')	5.559755555555555	6.894723642800941	1.334968087245386	2.1875	2.8303500397772474	0.6428500397772474	0.001871760856971817	0.0003689511874335579	-0.001502809669538259
('PIK3R1', 'PTEN')	5.4172777777777785	6.951085365853658	1.53380758807588	2.0625	2.872315035799523	0.8098150357995229	0.002336868077560811	0.0003718860195469216	-0.0019649820580138894
('PIK3R1', 'CDK4')	5.308505555555556	6.604318154996065	1.2958125994405094	2.40625	2.927008750994431	0.5207587509944309	0.0017391991773434662	0.00037266430031983214	-0.001366534877023634
('PIK3R3', 'PIK3CA')	5.630380555555556	7.097344551534226	1.46696399597867	2.1875	2.941129673826571	0.7536296738265711	0.007374037152159483	0.0003364996746692385	-0.007037537477490244
('PIK3R3', 'PIK3R5')	6.321869444444445	7.792313237608178	1.4704437931637324	2.46875	3.1439936356404137	0.6752436356404137	0.0018784646567935072	0.00037594461152395606	-0.0015025200452695512
('PIK3R3', 'PIK3R2')	6.219133333333334	7.690501868607391	1.471368535274057	2.40625	3.129474940334129	0.7232249403341289	0.0018576925475852371	0.0003761525895394068	-0.0014815399580458302
('PIK3R3', 'PIK3C2G')	7.120550000000001	8.60846089693155	1.4879108969315498	2.5625	3.2993237867939538	0.7368237867939538	0.0016210380649366763	0.00037748791469920584	-0.0012435501502374704
('PIK3R3', 'PIK3C3')	7.216502777777778	8.788052753737205	1.5715499759594262	2.75	3.4669848846459823	0.7169848846459823	0.0021770461845314866	0.000371046041860514	-0.0018060001426709726
('PIK3R3', 'BRAF')	6.272461111111111	7.692780448465777	1.420319337354666	2.46875	3.141607000795545	0.672857000795545	0.0017257664070633237	0.0003769476301147196	-0.001348818776948604
('PIK3R3', 'SGK1')	6.598397222222223	8.077969689221085	1.479572466998862	2.5625	3.1968973747016705	0.6343973747016705	0.001588279598060984	0.00037429216339332765	-0.0012139874346676562
('PIK3R3', 'PI4KA')	7.493136111111111	8.89318255310778	1.4000464419966683	2.96875	3.639618138424821	0.670868138424821	0.0014823787821003826	0.0003787796325020327	-0.00110359914959835
('PIK3R3', 'RB1')	6.079825	7.460157435090469	1.3803324350904695	2.34375	3.0198886237072395	0.6761386237072395	0.0018051871492402623	0.0003700216666625226	-0.0014351654825777397
('PIK3R3', 'PTEN')	5.937347222222222	7.516519158143186	1.5791719359209644	2.21875	3.061853619729515	0.843103619729515	0.002270294369829256	0.0003729564987758863	-0.0018973378710533699
('PIK3R3', 'CDK4')	5.828575000000001	7.169751947285593	1.3411769472855921	2.5625	3.116547334924423	0.554047334924423	0.0016726254696119113	0.00037373477954879685	-0.0012988906900631143
('PIK3CA', 'PIK3R5')	5.703850000000001	7.167803737214799	1.4639537372147977	2.21875	2.935560859188544	0.716810859188544	0.007393474089163112	0.00033629770807112793	-0.007057176381091984
('PIK3CA', 'PIK3R2')	5.601113888888889	7.065992368214012	1.4648784793251224	2.15625	2.9210421638822592	0.7647921638822592	0.007372701979954843	0.0003365056860865787	-0.007036196293868264
('PIK3CA', 'PIK3C2G')	6.502530555555557	7.983951396538172	1.481420840982615	2.3125	3.090891010342084	0.7783910103420841	0.007136047497306282	0.0003378410112463777	-0.0067982064860599035
('PIK3CA', 'PIK3C3')	6.598483333333334	8.163543253343827	1.5650599200104924	2.5	3.258552108194113	0.7585521081941131	0.0076920556169010924	0.0003313991384076859	-0.0073606564784934065
