gene_u,gene_v,bucket_pen,pen_diff,is_known,score,rank_in_bucket
ERCC1,NTF3,1,0.6493723795789528,1,0.8239184,75
IL6R,TP53AIP1,1,0.725970226855809,1,0.813279,94
PON1,RBX1,2,1.2738509550660044,1,0.7537288,12
HGF,ADA,2,1.221999348719308,1,0.50744057,43
CXCL12,TNFRSF1A,2,1.298714865809952,1,0.77648216,11
ERCC2,FXN,2,1.204076558265589,1,0.62695324,20
EDN1,SP3,2,1.2934782651455423,1,0.6535276,17
HLA-C,ADA,2,1.2871180850599,1,0.6311333,19
NCF4,BMP7,2,1.27671813969752,1,0.59122884,25
TGM2,PLD2,2,1.268847810123261,1,0.5571839,32
SMAD4,TSHB,2,1.2184193439111874,1,0.51246583,40
ERCC2,EPHX1,2,1.1945821793863214,1,0.40543127,49
GCLC,FXN,2,1.28087859515694,1,0.6065625,22
MYB,BMP7,2,1.2954612400559498,1,0.7309903,14
EDN1,F5,2,1.1431232887490133,1,0.5680456,30
NOS3,CDC25C,2,1.2172073870093545,1,0.5467805,34
CXCL12,PPP2R5D,2,1.2792049720255276,1,0.7367494,13
PI4KA,CDK4,2,1.2677693373546557,1,0.50999236,41
CDK6,CDK4,2,1.2470781165311573,1,0.5183549,39
ERCC2,BRCA2,2,1.2749061150450292,1,0.56753653,31
CYP19A1,ESR1,2,0.992886388670664,1,0.98032135,1
RBX1,EPHX1,2,1.2363302648833194,1,0.58297306,27
SULT2A1,IKZF1,2,1.0009829006035211,1,0.8737415,9
XRCC1,FBXW7,2,0.8756198006822178,1,0.9693168,2
TYMS,RBX1,2,1.2363285142932323,1,0.58297306,28
EPHX1,CDC25C,2,1.224440982603383,1,0.55298185,33
CBL,HLA-C,2,1.2547850205437685,1,0.50859857,42
IKZF1,PYGL,2,1.0009829006035211,1,0.8737415,10
IL11,CDC25C,2,1.2784937538246268,1,0.5252838,37
IRS1,EPHX1,2,1.28561546682403,1,0.5873064,26
SOD2,SLC22A9,2,0.8946287503281507,1,0.8992499,5
TYMS,IGFBP3,2,1.2889206726986746,1,0.6906182,15
TP53AIP1,SOD2,2,0.8946287503281507,1,0.8992499,6
LIF,CDC25C,2,1.2726935462015856,1,0.46214998,46
SOD2,HSPB2,2,0.8946287503281507,1,0.8992499,7
IL11,PTPRC,2,1.2964534465425253,1,0.53168976,36
BRCA2,EPHX1,2,1.2706176064341437,1,0.6010668,23
BRAF,CDK4,2,1.2880422327126535,1,0.59592557,24
SMAD4,CDC25C,2,1.2427350992219657,1,0.4354338,48
ICAM3,NOS3,2,1.291021900952897,1,0.44150382,47
HGF,NOS3,2,1.193122744558103,1,0.47908825,45
ACTB,EPHX1,2,1.2263664590436356,1,0.5194503,38
CBLB,CDC25C,2,1.2478094129731565,1,0.4968683,44
IL11,HLA-G,2,1.2980758326776698,1,0.57160497,29
TSHB,NOS3,2,1.1928916316985756,1,0.38568813,50
ACTB,RBX1,2,1.2724030531515176,1,0.5461489,35
SELE,CDC25C,2,1.2674023319346173,1,0.63626313,18
TUBA1B,FBXW7,2,0.8756198006822178,1,0.9693168,3
TUBA1A,FBXW7,2,0.8756198006822178,1,0.9693168,4
CBL,IGF2,2,1.299073100795531,1,0.6868101,16
ERCC2,GRP,2,1.2827555009179274,1,0.6202318,21
XRCC1,SOD2,2,0.8946287503281507,1,0.8992499,8
ERCC2,FOS,2,1.2817473620945918,1,0.3687485,51
WEE1,ACSS2,3,1.3569428861788797,1,0.45098874,209
SOD2,ICAM3,3,1.5977374114870333,1,0.37326464,239
CCND1,CCND2,3,1.578498725850168,1,0.865117,24
ACSS2,FHL2,3,1.5260858095113434,1,0.5512156,98
PLD2,NCOA3,3,1.523010542879608,1,0.6120969,52
ACTB,GATA3,3,1.4444051512370049,1,0.90386575,21
CCND1,PTPRM,3,1.6855476724364138,1,0.69399357,35
IL6R,TPT1,3,1.440699058047029,1,0.36313468,243
BIRC5,ERBB3,3,1.536721719555901,1,0.48701638,178
EPHA5,SOD2,3,1.6019169223708252,1,0.3452818,249
GNL3,TYMP,3,1.559050979106571,1,0.7196532,32
TYMS,TYMP,3,1.3081960595331772,1,0.557269,90
CDKN2B,PRKX,3,1.4478354489028824,1,0.44232792,215
MTOR,BRAF,3,1.3896374049304994,1,0.5267723,123
IGFBP3,DKK1,3,1.5389078437800503,1,0.29792348,257
PIK3R5,SGK1,3,1.4765622082349903,1,0.46352088,204
LRP2,MIR21,3,1.446653933910305,1,0.36385587,242
MYB,NOS3,3,1.3007725675321389,1,0.48353606,183
MTOR,VHL,3,1.4725683975871924,1,0.4389038,217
AFP,RAC2,3,1.3583086152635797,1,0.62184906,44
FCGR2A,BIRC5,3,1.577614841769389,1,0.47745937,188
CCND1,HLA-C,3,1.568674267855597,1,0.9293285,15
IRS1,BCL2,3,1.5101686314363167,1,0.5899523,61
PIK3CA,CDK4,3,1.3346868913366574,1,0.9756452,3
FOXP3,NOS3,3,1.3918602543928775,1,0.5330058,119
RRM2,HLA-C,3,1.432207282105101,1,0.48767143,176
FGFR2,PGR,3,1.5355607614301905,1,0.5438788,107
PLD2,CCNA2,3,1.3322029045371124,1,0.5542213,95
CBL,ETS2,3,1.3285662186379827,1,0.533301,117
DFFB,FANCC,3,1.494315490864599,1,0.3546092,248
ACTB,MYCN,3,1.4777144877174582,1,0.43834618,218
ZEB1,MYB,3,1.4528758414197158,1,0.49222866,170
GCLC,FANCC,3,1.4264422195996271,1,0.524815,127
CBLB,CHN2,3,1.3769920360171302,1,0.48189953,185
PTEN,CDK4,3,1.4468948312789518,1,0.62425065,42
SOD2,TLR4,3,1.600870607133503,1,0.46387613,203
EEF2K,PIK3CA,3,1.4261736231313993,1,0.9287306,16
SMARCA4,SMARCB1,3,1.4868238875775823,1,0.36055258,244
MAP3K1,NR1I3,3,1.638847034268735,1,0.94769025,9
TP73,HLA-C,3,1.3337539601363917,1,0.53477204,115
ACSS2,MAD1L1,3,1.4094760446717522,1,0.49194184,171
CDKN1A,CHN2,3,1.4200390593583272,1,0.42002195,224
MDM4,STK11,3,1.454565547687725,1,0.61368793,50
TP73,ACSS2,3,1.3639250743072129,1,0.5325274,121
KRAS,ARID1A,3,1.309630035405192,1,0.5051923,149
SMAD4,NQO1,3,1.3823885064253858,1,0.50314844,153
PIK3C3,SGK1,3,1.5776683910306843,1,0.49581203,167
F5,TFF3,3,1.46101848937845,1,0.35718557,246
