gene_u,gene_v,bucket_pen,pen_diff,dist_diff,ppr_diff,model_score,composite_score,novelty_weight,confidence,global_rank,rank_in_bucket
DDX5,ETV4,4,0.8484349007551817,0.4583485401459848,-0.02187846650319,-2.8736387128073515,0.30939161434949325,1.0,High,146,146
ATRIP,MAP2,4,0.8273187863656961,0.4293339416058392,-0.0074497201024788,-2.8736387128073515,0.30939161434949325,1.0,High,147,147
HOXB13,MAP2,4,0.8276377728716966,0.5382299270072997,-0.0103252123270848,-2.8736387128073515,0.30939161434949325,1.0,High,148,148
CDK3,MAP2,4,0.8364012070317379,0.6529653284671539,-0.0074141873944993,-2.8736387128073515,0.30939161434949325,1.0,High,149,149
CHEK2,MAP2,4,0.8367285994305274,0.5738594890510953,-0.0073926896875544,-2.8736387128073515,0.30939161434949325,1.0,High,150,150
DDX5,PIN1,4,0.8368867226509522,0.6037408759124085,-0.0135397640027988,-2.8736387128073515,0.30939161434949325,1.0,High,151,151
BRAF,MDC1,4,0.8369664837205422,0.6669251824817524,-0.0093790576410259,-2.8736387128073515,0.30939161434949325,1.0,High,152,152
RIT1,CDCA4,4,0.8371806771757662,0.6219890510948907,-0.0074709414638341,-2.8736387128073515,0.30939161434949325,1.0,High,153,153
CDCA4,RIT2,4,0.8371910040028183,0.6219890510948907,-0.0074709414638341,-2.8736387128073515,0.30939161434949325,1.0,High,154,154
YWHAZ,TLK1,4,0.8372623488631259,0.5411952554744528,-0.0105196125751598,-2.8736387128073515,0.30939161434949325,1.0,High,155,155
VAV3,TERF2IP,4,0.8372844179424686,0.4958485401459853,-0.0059382391629809,-2.8736387128073515,0.30939161434949325,1.0,High,156,156
ARID3A,RIT1,4,0.8374633371848432,0.6224452554744531,-0.0074709414638341,-2.8736387128073515,0.30939161434949325,1.0,High,157,157
ARID3A,RIT2,4,0.8374736640118972,0.6224452554744531,-0.0074709414638341,-2.8736387128073515,0.30939161434949325,1.0,High,158,158
MATK,TERF2IP,4,0.8375214315189936,0.4773722627737227,-0.005065853540616,-2.8736387128073515,0.30939161434949325,1.0,High,159,159
TAOK1,TERF2IP,4,0.8376729315396343,0.456067518248175,-0.0049905764276191,-2.8736387128073515,0.30939161434949325,1.0,High,160,160
MAP2,CDCA4,4,0.8377665827590608,0.6219890510948907,-0.0074709414638341,-2.8736387128073515,0.30939161434949325,1.0,High,161,161
ARID3A,MAP2,4,0.8380492427681396,0.6224452554744531,-0.0074709414638341,-2.8736387128073515,0.30939161434949325,1.0,High,162,162
BRAF,SIPA1,4,0.8383850348698028,0.5083029197080293,-0.010328390647259,-2.8736387128073515,0.30939161434949325,1.0,High,163,163
FOXA1,KSR1,4,0.8385704184376674,0.6244525547445252,-0.010773161814019,-2.8736387128073515,0.30939161434949325,1.0,High,164,164
CERK,KSR1,4,0.8397237465439655,0.5928375912408756,-0.0085203007129987,-2.8736387128073515,0.30939161434949325,1.0,High,165,165
BRAF,ELK4,4,0.8397872426030446,0.5099452554744532,-0.0182890729156646,-2.8736387128073515,0.30939161434949325,1.0,High,166,166
MINK1,TERF2IP,4,0.8399258490488126,0.5297901459854013,-0.0050300205572824,-2.8736387128073515,0.30939161434949325,1.0,High,167,167
DDX5,RAF1,4,0.8406949923658047,0.610310218978102,-0.0220606336279462,-2.8736387128073515,0.30939161434949325,1.0,High,168,168
ETV5,FOXA2,4,0.8408727355259327,0.5211678832116791,-0.0101544197674502,-2.8736387128073515,0.30939161434949325,1.0,High,169,169
PIAS4,KCNA2,4,0.8409457227747268,0.476277372262774,-0.0081588210833326,-2.8736387128073515,0.30939161434949325,1.0,High,170,170
PIN1,TLK1,4,0.841015639830001,0.6026003649635037,-0.0109348506825947,-2.8736387128073515,0.30939161434949325,1.0,High,171,171
TERF2IP,TFAP2C,4,0.8411395947674585,0.43713503649635,-0.0050241838073457,-2.8736387128073515,0.30939161434949325,1.0,High,172,172
MAPK13,TERF2IP,4,0.8413293896752307,0.4916970802919707,-0.0051648413840747,-2.8736387128073515,0.30939161434949325,1.0,High,173,173
SGK3,TERF2IP,4,0.8414060722980992,0.43713503649635,-0.0050241838073457,-2.8736387128073515,0.30939161434949325,1.0,High,174,174
CLSPN,BRAF,4,0.8415083419304228,0.5068886861313864,-0.0096412119647713,-2.8736387128073515,0.30939161434949325,1.0,High,175,175
CERK,FOXA2,4,0.8363754755911295,0.5588959854014597,-0.0084342091924386,-2.8736387128073515,0.30939161434949325,1.0,High,176,176
CHEK2,RIT2,4,0.8361530206742849,0.5738594890510953,-0.0073926896875544,-2.8736387128073515,0.30939161434949325,1.0,High,177,177
RIT1,CHEK2,4,0.8361426938472309,0.5738594890510953,-0.0073926896875544,-2.8736387128073515,0.30939161434949325,1.0,High,178,178
ARID3A,TLK1,4,0.8312945797053803,0.6460310218978105,-0.0103218834076934,-2.8736387128073515,0.30939161434949325,1.0,High,179,179
TYR,TERF2IP,4,0.8285559546899002,0.6392791970802918,-0.004939918325149,-2.8736387128073515,0.30939161434949325,1.0,High,180,180
EZH2,RIT2,4,0.803307124582183,0.5693886861313873,-0.0075100921583301,-2.8736387128073515,0.30939161434949325,1.0,High,181,181
PPP2R2A,TLK1,4,0.8291907481533531,0.5464416058394161,-0.0109006983344093,-2.8736387128073515,0.30939161434949325,1.0,High,182,182
